loan_id,age,annual_income,employment_length,home_ownership,credit_score,num_credit_lines,delinquencies_2yrs,credit_utilization,inquiries_6months,loan_purpose,loan_amount,offered_rate,offer_accepted,default
1,54,51000,< 1 year,RENT,614,6,0,31.9,0,small_business,19000,0.17423249183903955,0,NA
2,31,88000,3-5 years,RENT,631,6,1,21.7,0,small_business,31000,0.15378363081371135,1,0
3,42,59000,3-5 years,RENT,600,7,0,37.3,0,credit_card,14000,0.12252311568427743,0,NA
4,46,45000,< 1 year,RENT,614,12,0,16.1,1,home_improvement,12000,0.16928201842627755,0,NA
5,43,40000,3-5 years,OWN,792,8,2,55.9,0,car,9000,0.09339518584781974,1,0
6,37,46000,3-5 years,MORTGAGE,850,3,1,36.2,0,credit_card,9000,0.1,1,0
7,56,84000,3-5 years,MORTGAGE,843,9,1,45.7,1,home_improvement,40000,0.1,1,0
8,37,56000,6-10 years,MORTGAGE,711,5,0,26,1,home_improvement,2000,0.13,0,NA
9,62,37000,10+ years,RENT,757,10,1,54.7,0,credit_card,18500,0.04555871782003648,1,0
10,37,43000,3-5 years,RENT,706,10,0,31.4,0,debt_consolidation,17000,0.10271088510698323,1,0
11,54,12000,6-10 years,MORTGAGE,713,8,0,13.5,1,medical,6000,0.09,1,1
12,65,58000,10+ years,MORTGAGE,693,5,0,47.6,1,major_purchase,28000,0.09,1,0
13,21,88000,10+ years,RENT,718,9,1,32.6,0,major_purchase,29000,0.1225554122527459,1,0
14,35,25000,10+ years,RENT,731,4,0,40.8,0,credit_card,12500,0.06317338921063352,1,0
15,36,52000,6-10 years,MORTGAGE,649,14,0,29.5,0,home_improvement,26000,0.19223720052658552,0,NA
16,46,37000,< 1 year,MORTGAGE,724,10,0,22.4,1,major_purchase,15000,0.08904160783528729,0,NA
17,35,31000,10+ years,MORTGAGE,803,9,0,33.8,0,debt_consolidation,15500,0.038272124054781066,1,0
18,18,52000,10+ years,MORTGAGE,748,6,0,34.7,1,home_improvement,9000,0.07595372263862576,1,0
19,18,31000,3-5 years,RENT,696,7,1,17.4,0,debt_consolidation,15500,0.09,1,0
20,54,47000,3-5 years,MORTGAGE,676,5,0,26.3,0,debt_consolidation,19000,0.13,1,0
21,34,108000,< 1 year,MORTGAGE,699,8,0,20.5,0,credit_card,5000,0.09843623139424154,0,NA
22,18,18000,1-2 years,OWN,636,8,0,83.3,0,home_improvement,9000,0.15350107834507512,0,NA
23,36,33000,6-10 years,RENT,579,13,0,36.2,3,debt_consolidation,16500,0.17674495200642806,0,NA
24,53,38000,1-2 years,MORTGAGE,768,12,0,30.4,0,major_purchase,7000,0.03304531970285084,1,0
25,61,104000,3-5 years,RENT,624,6,0,57.9,1,debt_consolidation,9000,0.12,1,0
26,33,83000,1-2 years,RENT,698,5,0,40.5,1,debt_consolidation,19000,0.1178805781391194,1,0
27,35,47000,1-2 years,RENT,793,12,0,28.3,0,debt_consolidation,23500,0.06707733281920311,1,0
28,18,23000,< 1 year,MORTGAGE,722,8,0,13.9,1,debt_consolidation,11000,0.07839528687296707,1,0
29,44,58000,1-2 years,RENT,804,3,0,13.9,2,medical,1000,0.1,0,NA
30,30,52000,3-5 years,MORTGAGE,588,7,0,85.5,2,debt_consolidation,8000,0.12,1,0
31,43,66000,6-10 years,MORTGAGE,632,12,0,46.1,1,small_business,20000,0.12,1,0
32,46,49000,1-2 years,RENT,695,12,0,30.4,4,major_purchase,12000,0.09587879204500542,1,0
33,50,21000,3-5 years,RENT,676,7,1,11,1,debt_consolidation,10500,0.12505476709425767,0,NA
34,31,41000,< 1 year,RENT,726,7,1,32.1,2,debt_consolidation,13000,0.07758820456018113,1,0
35,44,121000,6-10 years,MORTGAGE,763,10,1,15.8,0,debt_consolidation,35000,0.1,1,0
36,18,18000,6-10 years,MORTGAGE,786,7,0,14.4,0,credit_card,9000,0.093225114767144,1,0
37,29,54000,10+ years,MORTGAGE,765,9,0,38.7,1,credit_card,27000,0.0346584193078863,1,0
38,28,127000,6-10 years,RENT,629,9,0,36.9,2,medical,40000,0.1252545091287603,1,0
39,18,37000,3-5 years,RENT,679,11,0,51.5,0,debt_consolidation,13000,0.12318409939255792,1,0
40,38,66000,10+ years,MORTGAGE,710,4,0,33.9,0,home_improvement,29000,0.09,1,0
41,40,37000,1-2 years,RENT,659,11,0,55.4,4,other,18500,0.11576230794156978,1,0
42,34,63000,6-10 years,MORTGAGE,678,7,0,85.1,0,car,19000,0.11472131703283431,1,0
43,47,22000,< 1 year,RENT,656,14,0,51.8,1,debt_consolidation,11000,0.13,1,0
44,29,34000,10+ years,MORTGAGE,719,9,2,70.3,1,credit_card,17000,0.09826876526620255,1,0
45,22,93000,1-2 years,MORTGAGE,776,7,1,16,1,credit_card,32000,0.1,1,0
46,43,193000,6-10 years,MORTGAGE,607,5,0,35.1,1,debt_consolidation,4000,0.14019576958755525,0,NA
47,28,38000,10+ years,RENT,709,12,0,25.4,1,debt_consolidation,10000,0.13,0,NA
48,55,61000,6-10 years,RENT,609,11,0,34.5,2,credit_card,4000,0.12,0,NA
49,33,102000,3-5 years,RENT,681,7,0,30.4,1,debt_consolidation,6000,0.09048634238251671,1,0
50,46,43000,< 1 year,RENT,662,9,0,83.5,0,home_improvement,16000,0.11828153334001901,1,1
51,42,53000,1-2 years,MORTGAGE,648,9,0,64.2,1,major_purchase,15000,0.12,1,1
52,29,77000,3-5 years,MORTGAGE,673,8,0,25.1,1,medical,16000,0.09,1,0
53,57,12000,10+ years,RENT,792,11,0,11.3,0,credit_card,6000,0.1,1,1
54,46,71000,3-5 years,MORTGAGE,741,8,0,25.7,1,home_improvement,3000,0.1,0,NA
55,39,29000,1-2 years,RENT,704,8,0,66.1,1,credit_card,2000,0.09,0,NA
56,41,52000,6-10 years,MORTGAGE,647,9,1,32.1,2,debt_consolidation,9000,0.14012161066676723,0,NA
57,46,40000,3-5 years,MORTGAGE,682,13,1,43.7,0,major_purchase,8000,0.11294105775316596,1,1
58,39,47000,6-10 years,OWN,688,5,0,53.6,0,home_improvement,23500,0.09,1,0
59,18,85000,6-10 years,RENT,771,7,2,61.9,0,major_purchase,28000,0.0588128783942882,1,0
60,41,59000,1-2 years,MORTGAGE,716,8,0,57.1,2,debt_consolidation,29000,0.09965148601588643,1,0
61,34,36000,10+ years,MORTGAGE,684,7,1,5.6,2,debt_consolidation,16000,0.13,1,0
62,40,52000,6-10 years,RENT,671,9,0,71.7,3,other,26000,0.09,0,NA
63,45,84000,< 1 year,RENT,569,4,0,51.2,0,home_improvement,34000,0.13054387478181395,1,1
64,55,67000,1-2 years,RENT,644,12,1,47.5,2,credit_card,6000,0.16326777127711756,0,NA
65,29,20000,10+ years,MORTGAGE,656,11,0,49.9,0,credit_card,6000,0.13,0,NA
66,54,8000,3-5 years,RENT,624,6,0,20.7,1,debt_consolidation,4000,0.19021513164732232,0,NA
67,42,62000,< 1 year,RENT,776,4,0,60.2,3,major_purchase,30000,0.1,1,0
68,50,39000,3-5 years,MORTGAGE,773,6,2,66,1,debt_consolidation,19500,0.08262867149719333,1,0
69,49,63000,3-5 years,RENT,643,6,0,70.9,0,major_purchase,31000,0.12,1,1
70,47,59000,< 1 year,RENT,731,7,0,32.1,1,debt_consolidation,12000,0.09009443352255318,1,0
71,25,37000,1-2 years,MORTGAGE,728,9,0,34.4,1,debt_consolidation,11000,0.09474910667483293,1,0
72,37,61000,6-10 years,MORTGAGE,707,6,1,37.6,1,debt_consolidation,20000,0.09,1,1
73,45,69000,1-2 years,MORTGAGE,801,7,0,60.5,2,credit_card,30000,0.1,1,0
74,27,87000,1-2 years,OWN,593,15,1,9.1,0,home_improvement,13000,0.12,1,0
75,31,52000,10+ years,MORTGAGE,683,5,1,40,1,credit_card,23000,0.13,0,NA
76,45,29000,6-10 years,OWN,766,8,0,53.5,0,credit_card,11000,0.07918922990850752,1,1
77,47,44000,3-5 years,MORTGAGE,649,12,1,33.7,1,home_improvement,22000,0.158597081429874,0,NA
78,44,23000,6-10 years,MORTGAGE,617,7,0,40.2,0,home_improvement,11500,0.1988411612664069,0,NA
